bairro,rua,cidade,estacao,tipo,distance_km
Tatuapé,Rua Jacirendi,São Paulo,Carrao,metro,1.650343668783682
Tatuapé,Rua Jacirendi,São Paulo,Tatuape,metro,1.0386717681238316
Tatuapé,Rua Jacirendi,São Paulo,Belem,metro,1.7147212151233375
Bom Retiro,Rua Newton Prado,São Paulo,Santa Cecilia,metro,1.8997619987569674
Bom Retiro,Rua Newton Prado,São Paulo,Marechal Deodoro,metro,1.910299603549048
Bom Retiro,Rua Newton Prado,São Paulo,Osasco,trem,1.4300866865867867
Bom Retiro,Rua Newton Prado,São Paulo,Pinheiros,trem,1.4300866865867867
Bom Retiro,Rua Newton Prado,São Paulo,Portuguesa-Tietê,metro,1.5906996834614173
Bom Retiro,Rua Newton Prado,São Paulo,Armênia,metro,0.8983437567721173
Bom Retiro,Rua Newton Prado,São Paulo,Tiradentes,metro,0.9220801498754224
Bom Retiro,Rua Newton Prado,São Paulo,Luz,metro,1.2329153268451523
Santana,Rua Paulo Gonçalves 205,São Paulo,Parada Inglesa,metro,1.9324827479882525
Santana,Rua Paulo Gonçalves 205,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.9591572932015414
Santana,Rua Paulo Gonçalves 205,São Paulo,Santana,metro,0.8318233522411403
Santana,Rua Paulo Gonçalves 205,São Paulo,Carandiru,metro,1.558344311641849
Panamby,Rua Diego de Castilho,São Paulo,Granja Julieta,trem,1.4015265109996122
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Tucuruvi,metro,1.4204542399611522
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Parada Inglesa,metro,0.5514582840838551
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.6318587127373442
Parada Inglesa,Rua Gilberto Sampaio 43,São Paulo,Santana,metro,1.8935701551277917
Tatuapé,Rua Sebastião Barbosa,São Paulo,Tatuape,metro,1.537224014665652
Saúde,Rua Major Freire,São Paulo,Praça da Árvore,metro,1.9839901139389249
Saúde,Rua Major Freire,São Paulo,São Judas,metro,0.7440534707546734
Saúde,Rua Major Freire,São Paulo,Conceição,metro,1.090901175660772
Santana,RUA DOUTOR GUILHERME CRISTOFEL,São Paulo,Parada Inglesa,metro,1.8275913669409312
Santana,RUA DOUTOR GUILHERME CRISTOFEL,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.118622556943021
Santana,RUA DOUTOR GUILHERME CRISTOFEL,São Paulo,Santana,metro,1.6100220951112363
Panamby,Rua Deputado Laércio Corte 390,São Paulo,Granja Julieta,trem,1.971839723357944
Tatuapé,Rua Cândido Lacerda,São Paulo,Carrao,metro,1.7771977751310637
Tatuapé,Rua Cândido Lacerda,São Paulo,Tatuape,metro,1.9067592636476263
Tatuapé,Sete de Outubro,São Paulo,Penha,metro,1.3496402361219266
Tatuapé,Sete de Outubro,São Paulo,Carrao,metro,1.348496484865552
Mooca,Alvaro Ramos,São Paulo,Tatuape,metro,1.029016522774267
Mooca,Alvaro Ramos,São Paulo,Belem,metro,0.8326618531440514
Casa Verde,R Itaici,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.8494055429425438
Casa Verde,R Itaici,São Paulo,Santana,metro,1.5709606812676973
Santana,Rua Manuel de Sousa 41,São Paulo,Parada Inglesa,metro,1.8444580675645392
Santana,Rua Manuel de Sousa 41,São Paulo,Jardim São Paulo Ayrton Senna,metro,0.9936320872922799
Santana,Rua Manuel de Sousa 41,São Paulo,Santana,metro,1.2827833799067316
Tucuruvi,Rua Antônio Flaquer 269,São Paulo,Tucuruvi,metro,1.1712574216799976
Tucuruvi,Rua Antônio Flaquer 269,São Paulo,Parada Inglesa,metro,1.8178171896891153
Vila Prudente,Rua Cavour 399,São Paulo,Tamanduateí,metro,1.5915430270337485
Vila Prudente,Rua Cavour 399,São Paulo,Vila Prudente,metro,0.765026431466973
Santana,Antonio Pereira de Sousa 252,São Paulo,Parada Inglesa,metro,1.832273642960091
Santana,Antonio Pereira de Sousa 252,São Paulo,Jardim São Paulo Ayrton Senna,metro,1.027130348862315
Santana,Antonio Pereira de Sousa 252,São Paulo,Santana,metro,1.3961507881901556
Butantã,Rua Coronel Camisão,São Paulo,Morumbi,trem,1.4699489017166556
Butantã,Rua Coronel Camisão,São Paulo,Saúde,metro,1.7560105158799697
Butantã,Rua Coronel Camisão,São Paulo,São Paulo-Morumbi,metro,1.4936337397052646
Vila das Mercês,Avenida Santo Albano,São Paulo,Sacomã,metro,1.6871727432653607
Bom Retiro,Rua Correia de Melo,São Paulo,Republica,metro,1.740032516669168
Bom Retiro,Rua Correia de Melo,São Paulo,Santa Cecilia,metro,1.6494077211039584
Bom Retiro,Rua Correia de Melo,São Paulo,Marechal Deodoro,metro,1.9518376467126328
Bom Retiro,Rua Correia de Melo,São Paulo,Osasco,trem,0.8020787698568614
Bom Retiro,Rua Correia de Melo,São Paulo,Pinheiros,trem,0.8020787698568614
Bom Retiro,Rua Correia de Melo,São Paulo,Portuguesa-Tietê,metro,1.7743725219177837
Bom Retiro,Rua Correia de Melo,São Paulo,Armênia,metro,0.7222160351723579
Bom Retiro,Rua Correia de Melo,São Paulo,Tiradentes,metro,0.31242781068397335
Bom Retiro,Rua Correia de Melo,São Paulo,Luz,metro,0.6462348103403225
Bom Retiro,Rua Correia de Melo,São Paulo,São Bento,metro,1.6824284095749398
Tatuapé,Rua Sete de Outubro 156,São Paulo,Penha,metro,1.361275621343459
Tatuapé,Rua Sete de Outubro 156,São Paulo,Carrao,metro,1.3386439871121332
Jaguaré,Rua Caetanópolis 800,São Paulo,Presidente Altino,trem,1.5565127463686035
Jaguaré,Rua Caetanópolis 800,São Paulo,Ceasa,trem,1.45318441147631
Morumbi,av giovanne gronchi,São Paulo,Morumbi,trem,1.4508340672332798
Morumbi,av giovanne gronchi,São Paulo,Saúde,metro,1.1313810182689608
